id,lat,lon,tract_geoid,median_income_E,gini_index_E,pct_rental_E,pct_sf_homes_E,annual_loans_per_sf_home,annual_loans_per_mf_home,income_ratio_sf,pct_sf_purchase,pct_sf_refi,pct_sf_rehab,pct_sf_cashout,mean_rate,geometry
0713S00089000000,40.56089865,-80.05061729,42003413300,43696,0.3857,0.07456872565386756,0.9666110183639399,0.030645232717771576,0,1.9681435371658733,0.5,0.42196531791907516,0,0.07803468208092486,3.655650406504065,"c(-80.05061729, 40.56089865)"
0610E00046000000,40.55712028,-80.06408525,42003413300,43696,0.3857,0.07456872565386756,0.9666110183639399,0.030645232717771576,0,1.9681435371658733,0.5,0.42196531791907516,0,0.07803468208092486,3.655650406504065,"c(-80.06408525, 40.55712028)"
0079A00176000000,40.47977863,-79.97971642,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97971642, 40.47977863)"
0079B00178000000,40.48101969,-79.97680084,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97680084, 40.48101969)"
0079G00003000300,40.47937097,-79.97055401,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97055401, 40.47937097)"
0118L00080000000,40.48672103,-79.97376576,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97376576, 40.48672103)"
0118C00073000000,40.49075441,-79.97124384,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97124384, 40.49075441)"
0118R00187000000,40.48373365,-79.97209466,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97209466, 40.48373365)"
0118C00069000000,40.49067146,-79.9706646,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.9706646, 40.49067146)"
0118G00025000000,40.48907876,-79.97370402,42003427000,30067,0.3799,0.5753351206434316,0.7613941018766756,0.007692307692307693,0,2.0288023414374563,0.5845070422535211,0.323943661971831,0,0.09154929577464789,4.168698630136986,"c(-79.97370402, 40.48907876)"
0041P00145000000,40.44361159,-80.06004125,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.06004125, 40.44361159)"
0070L00343000000,40.44645523,-80.0726133,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.0726133, 40.44645523)"
0070H00336000000,40.44866281,-80.06677644,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.06677644, 40.44866281)"
0069B00170000000,40.4427461,-80.07559472,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.07559472, 40.4427461)"
0070R00115000A00,40.44494581,-80.07199634,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.07199634, 40.44494581)"
0040A00290000000,40.4427347,-80.06211566,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.06211566, 40.4427347)"
0070H00289000000,40.44795696,-80.06749525,42003464300,34444,0.404,0.3732394366197183,0.6683098591549296,0.018562049120531735,0,1.858088491464406,0.4847161572052402,0.42358078602620086,0,0.09170305676855896,3.888709677419355,"c(-80.06749525, 40.44795696)"
0112K00048000000,40.48480879,-80.07822545,42003462100,31863,0.4292,0.4836716681376876,1.0070609002647837,0.01018000404503472,-0,2.259674230298465,0.7284768211920529,0.19205298013245034,0,0.07947019867549669,3.98764367816092,"c(-80.07822545, 40.48480879)"
0073E00066000000,40.47921806,-80.07979946,42003462100,31863,0.4292,0.4836716681376876,1.0070609002647837,0.01018000404503472,-0,2.259674230298465,0.7284768211920529,0.19205298013245034,0,0.07947019867549669,3.98764367816092,"c(-80.07979946, 40.47921806)"
0112F00176000000,40.48690527,-80.07504795,42003462100,31863,0.4292,0.4836716681376876,1.0070609002647837,0.01018000404503472,-0,2.259674230298465,0.7284768211920529,0.19205298013245034,0,0.07947019867549669,3.98764367816092,"c(-80.07504795, 40.48690527)"
0111S00279000000,40.48356603,-80.08586106,42003462100,31863,0.4292,0.4836716681376876,1.0070609002647837,0.01018000404503472,-0,2.259674230298465,0.7284768211920529,0.19205298013245034,0,0.07947019867549669,3.98764367816092,"c(-80.08586106, 40.48356603)"
0369P00113000000,40.45490343,-79.84217665,42003523400,31468,0.3732,0.40587084148727987,0.8892367906066536,0.010901950162513543,0.001359064963305246,1.8272530824965043,0.5993788819875776,0.3385093167701863,0,0.062111801242236024,4.0458,"c(-79.84217665, 40.45490343)"
0369M00124000000,40.45626308,-79.83548944,42003523400,31468,0.3732,0.40587084148727987,0.8892367906066536,0.010901950162513543,0.001359064963305246,1.8272530824965043,0.5993788819875776,0.3385093167701863,0,0.062111801242236024,4.0458,"c(-79.83548944, 40.45626308)"
0450N00606059400,40.45422349,-79.82948665,42003523400,31468,0.3732,0.40587084148727987,0.8892367906066536,0.010901950162513543,0.001359064963305246,1.8272530824965043,0.5993788819875776,0.3385093167701863,0,0.062111801242236024,4.0458,"c(-79.82948665, 40.45422349)"
0180B00283000000,40.40202594,-79.89348166,42003484300,30842,0.4295,0.5878477306002928,0.8499267935578331,0.006360564500099384,7.5046904315197e-4,1.864340833927761,0.5729166666666666,0.3541666666666667,0,0.07291666666666667,3.9339473684210526,"c(-79.89348166, 40.40202594)"
0180N00011000000,40.39631409,-79.89558282,42003484300,30842,0.4295,0.5878477306002928,0.8499267935578331,0.006360564500099384,7.5046904315197e-4,1.864340833927761,0.5729166666666666,0.3541666666666667,0,0.07291666666666667,3.9339473684210526,"c(-79.89558282, 40.39631409)"
0180E00158000000,40.39930294,-79.8978587,42003484300,30842,0.4295,0.5878477306002928,0.8499267935578331,0.006360564500099384,7.5046904315197e-4,1.864340833927761,0.5729166666666666,0.3541666666666667,0,0.07291666666666667,3.9339473684210526,"c(-79.8978587, 40.39930294)"
0131H00328000000,40.3995572,-79.90078625,42003484300,30842,0.4295,0.5878477306002928,0.8499267935578331,0.006360564500099384,7.5046904315197e-4,1.864340833927761,0.5729166666666666,0.3541666666666667,0,0.07291666666666667,3.9339473684210526,"c(-79.90078625, 40.3995572)"
0034A00059000000,40.41359907,-80.01413401,42003191600,30490,0.3503,0.30344827586206896,0.8610079575596817,0.011659320346935873,0,2.0334535913414236,0.5487804878048781,0.34552845528455284,0,0.10569105691056911,4.003333333333333,"c(-80.01413401, 40.41359907)"
0034A00171000000,40.41271206,-80.01465477,42003191600,30490,0.3503,0.30344827586206896,0.8610079575596817,0.011659320346935873,0,2.0334535913414236,0.5487804878048781,0.34552845528455284,0,0.10569105691056911,4.003333333333333,"c(-80.01465477, 40.41271206)"
0035C00214000000,40.41248743,-80.02135345,42003191600,30490,0.3503,0.30344827586206896,0.8610079575596817,0.011659320346935873,0,2.0334535913414236,0.5487804878048781,0.34552845528455284,0,0.10569105691056911,4.003333333333333,"c(-80.02135345, 40.41248743)"
0035B00266000000,40.41223055,-80.0245459,42003191600,30490,0.3503,0.30344827586206896,0.8610079575596817,0.011659320346935873,0,2.0334535913414236,0.5487804878048781,0.34552845528455284,0,0.10569105691056911,4.003333333333333,"c(-80.0245459, 40.41223055)"
0143B00024000000,40.38370847,-80.07550856,42003470300,32586,0.4138,0.30101465614430667,0.7350620067643743,0.024539877300613498,1.6366612111292964e-4,2.393665991530105,0.5360576923076923,0.3870192307692308,0,0.07692307692307693,3.671331168831169,"c(-80.07550856, 40.38370847)"
0143F00214000000,40.3818288,-80.07612001,42003470300,32586,0.4138,0.30101465614430667,0.7350620067643743,0.024539877300613498,1.6366612111292964e-4,2.393665991530105,0.5360576923076923,0.3870192307692308,0,0.07692307692307693,3.671331168831169,"c(-80.07612001, 40.3818288)"
0143A00138000000,40.38355306,-80.07993102,42003470300,32586,0.4138,0.30101465614430667,0.7350620067643743,0.024539877300613498,1.6366612111292964e-4,2.393665991530105,0.5360576923076923,0.3870192307692308,0,0.07692307692307693,3.671331168831169,"c(-80.07993102, 40.38355306)"
0143F00222000000,40.38192552,-80.07533955,42003470300,32586,0.4138,0.30101465614430667,0.7350620067643743,0.024539877300613498,1.6366612111292964e-4,2.393665991530105,0.5360576923076923,0.3870192307692308,0,0.07692307692307693,3.671331168831169,"c(-80.07533955, 40.38192552)"
1824B00012000000,40.64584372,-80.07814727,42003411002,62483,0.4062,0.18968871595330739,0.9148832684824902,NA,NA,NA,NA,NA,NA,NA,NA,"c(-80.07814727, 40.64584372)"
1498M00100050400,40.62153556,-80.07050491,42003411002,62483,0.4062,0.18968871595330739,0.9148832684824902,NA,NA,NA,NA,NA,NA,NA,NA,"c(-80.07050491, 40.62153556)"
1498J00003000000,40.62068906,-80.0812387,42003411002,62483,0.4062,0.18968871595330739,0.9148832684824902,NA,NA,NA,NA,NA,NA,NA,NA,"c(-80.0812387, 40.62068906)"
1498E00003000000,40.62367785,-80.08008512,42003411002,62483,0.4062,0.18968871595330739,0.9148832684824902,NA,NA,NA,NA,NA,NA,NA,NA,"c(-80.08008512, 40.62367785)"
1823H00009000000,40.64329908,-80.08729185,42003411002,62483,0.4062,0.18968871595330739,0.9148832684824902,NA,NA,NA,NA,NA,NA,NA,NA,"c(-80.08729185, 40.64329908)"
0811M00341000000,40.55353486,-80.23591202,42003449000,35785,0.3639,0.16199095022624435,0.96289592760181,0.01807403123192597,0,2.1517395556797543,0.496,0.408,0,0.096,3.900882352941177,"c(-80.23591202, 40.55353486)"
0702H00196000000,40.55725286,-80.21934607,42003449000,35785,0.3639,0.16199095022624435,0.96289592760181,0.01807403123192597,0,2.1517395556797543,0.496,0.408,0,0.096,3.900882352941177,"c(-80.21934607, 40.55725286)"
0210S00205000000,40.49157914,-80.1194372,42003460001,41745,0.3056,0.1902676399026764,0.9099756690997567,0.026079802550390784,0,1.9643071026470236,0.556782334384858,0.33753943217665616,0,0.1056782334384858,3.645276752767528,"c(-80.1194372, 40.49157914)"
