PARID,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
1198M00205000000,-0.8611142840722562,-0.2761478694606493,0.8964475573809849,-0.9649724196418198,-0.5033460126771213,-0.4987086047464265,-1.3668681295365201,0.9359461482107903
0362R00030000000,-0.446434367676892,0.4320153839765633,0.3591688220405181,0.040134151208901715,0.12566545413640595,0.09295212629789167,-0.501565564144951,-0.3443864693036659
0520H00192000000,-0.6988211631921513,-0.30983456840710166,0.7273848054947549,-0.7021561411403886,-0.4024338902142483,-0.12865614137894457,-0.3434614365446921,-0.057592773725099806
0363D00126000000,-0.5456959576048213,0.12178000863289777,0.6881909923644506,-0.16147536216426894,0.2145983050200191,-0.39061789279689546,-0.23221128323245652,0.2936149995366991
0608A00025000000,-0.8770193268472878,-0.21197158557049567,1.2933825061393605,-0.7901452409564664,-0.3680485793089993,-0.7558046786149087,-1.045250983292278,0.9995022357835917
0162R00323000000,-0.11818018321677458,-0.33631166887790287,-1.1640943282319631,0.9255454540758664,-0.5647277378277297,-0.3102182808445908,-1.2373878275274168,-1.0290669909197068
0254R00029000000,-0.34484799109397285,-0.2097832892870896,1.186018782984059,-0.7768823007984349,-0.48232886743126924,-0.4747976057655989,0.21540191227535238,0.7498185553073485
1347E00181000000,-0.5952957733891476,-0.3067807197471488,1.1116329605930408,-0.8568733753088923,-0.4510362207648914,-0.7140020187603067,-0.6509111478036863,0.8711152409336842
1198C00305000000,-0.783209278140076,-0.2717071947044444,0.5929231741770153,-0.9659035500363573,-0.5836401721037933,-0.43288955949277363,-1.3311693058759375,0.3497187502686403
1829D00074000000,-0.8660476045400126,-0.2839759617147618,1.087529370651567,-0.9787829136278082,-0.42152267720613373,-0.4854906101489483,-1.4248482868064747,1.4400623448493368
0297G00255000000,-0.18689112186514986,-0.24964812309119974,-0.7255998328924317,-0.36087560129647495,-0.3166647842098947,-0.5083960028499173,0.926567191022454,0.9012315477132117
0373B00057000000,-0.08811300885360128,-0.03575295209832882,-0.23466672903935692,-0.09285781314264127,-0.22372123895651352,-0.11059510158579543,1.1055572127295712,-0.10646084082807557
0878J00354000000,-0.49979509537325406,-0.16324837013877253,-1.7888744933745109,0.13395050766497224,-0.6451075150324472,-0.1467576122320537,-1.420937898754964,0.43001292413242764
1223K00114000000,-0.28279812562146744,0.01856418237591661,-0.35935999417978326,-0.02885999408231513,-0.31034800746233077,0.4822534400112221,-0.9032489016448706,-0.958743280613751
1662P00006000000,-0.8836910608663597,-0.2715817461339756,1.2689201819127582,-0.8535535668889314,-0.47036496738189637,-0.6474002010003086,-1.0418656778567303,0.7018561125835839
0300B00116000000,-0.14582252457562128,-0.13432428891652526,-0.03268896710672878,0.36684010404361134,0.18347978765576353,-0.07147034482579429,0.6443931240749483,0.40995266317807166
0612J00049000000,-0.45217506327437473,-0.04335357851051438,1.1239642493022695,-1.0965847537035884,0.10533330667962451,0.20625278428195493,1.4245845714916026,1.2199324652888517
0612J00010000000,-0.437034217704096,-0.04195182524094535,1.1133030750767092,-1.081844067692335,0.0857249873713345,0.22211207574389347,1.4130965250505994,1.3040611645814313
1223N00276000000,-0.3261764582059513,-0.08168926093754271,-0.1577657787929305,-0.22886560115069376,-0.28381448474332605,0.1636673575681568,-0.7370224428447054,-0.5550731168355089
0280G00231000000,-0.3337599736147359,-0.08973104450341107,0.19774616116871682,-0.1431998921087242,-0.07114500332980721,0.3460487596671179,0.831721604729452,0.5080553840155778
0429H00052000000,-0.29881703396337467,-0.1442254537882317,0.7101011385470586,-1.0366951913464333,-0.644200313417001,-0.6390349703343677,0.07229572351022684,1.3252041948619515
0337B00026000000,-0.8500895257739236,-0.28715535633311196,1.2286537651738565,-0.7915128446005034,-0.5034194112894498,-0.7759297715037651,-0.6765120790412729,-0.5272610548069415
1678L00170000000,-0.7310080581158387,0.023720290870617514,0.19335117320359496,-0.3087519486407984,-0.15809597803162406,0.3568775919715692,-0.9027176367975825,-0.2376782997760871
1841E00216000000,-0.8686978300344864,-0.29470172870278155,-0.32681234869735165,-1.3112411943155777,-0.5692695934814044,-0.30102012270293244,-1.3259076067661129,0.503357823130807
0373E00229000000,0.12516839400126964,0.35466920632786403,-0.4824952416867571,0.4481874867073689,-0.252694204441695,0.40662951218811155,0.6613372345505354,-1.7970503639830318
0879E00187000000,-0.7232760528454443,-0.18585887194233577,-0.25160818758618625,-0.22166394809054218,-0.5621294660922781,-0.4590690861607595,-0.8791035686965047,-0.23961915943100295
1222D00045000100,-0.8103372335992984,-0.2903822114003935,-0.31149287705143236,-1.1324499129522498,-0.5922489634375715,-0.4503208056812169,-0.9425161757519024,-0.13987075523132
0118P00212000000,2.685836947173605,0.20116799635767957,0.0954263405263649,-0.0859339820298663,-1.1084214146372582,0.5360154810001511,-0.6537309898193349,-3.033614749948527
0878F00255000000,-0.4308288677402105,0.28692081809298076,-1.5407812628488258,0.4289882793169331,-0.6858443041571849,-0.2566315211491888,-1.708868164722101,0.5966309491594948
0280F00026000000,-0.3875897909854732,-0.02733106116937529,0.2308698819668261,0.10290500878690405,-0.007180191213779602,0.4499826379125529,0.2611192919549275,0.12856589975144217
0829N00053000000,-0.6014430991854012,-0.2830617620566025,0.960464741700518,-0.9488902980741899,-0.48660568044833397,-0.70541992257687125,-0.24046996401935505,1.1873878972581715
0280G00114000000,-0.3563018325978324,-0.07033140564601488,0.264839492687975,-0.0186878626929538,-0.0493069283878429,0.2818986965186375,0.43468848893556017,-0.8942216620250629
0879G00012000000,-0.39727286694258396,-0.0424302674046785,-1.0027309036337138,0.8093350397803956,-0.774278822494992,-0.04334980532556418,-1.538118446504154,-1.407906819429364
0063E00098000000,0.8266945472505568,-0.5002473413561446,0.485100620868113,0.6082174343770337,0.39258963669195734,1.2483898135842317,1.3853853643712504,0.24061135870695444
0280R00314000000,-0.4286487737377111,-0.2599085674601715,0.33166017241193163,-0.42912658634375467,-0.18047673609738094,-0.22783394457756959,0.4928788834569305,0.6148650099997061
1224A00190000000,-0.531848018128247,-0.18434118763677915,-0.26805259842929774,0.17833082723928717,0.027675532640368768,0.4070522967141674,-0.550228977005004,-1.8403616727642012
0082S00076000000,1.7854943986279406,0.14287446652351019,-1.3318973710360877,0.791742149676527,0.4998761500465582,0.7719827487235789,1.882976897267975,0.07491507261461354
0837K00209000000,-0.809353036277265,-0.29452419035034805,0.8458911017221677,-0.8558760963149058,-0.5182327484723935,-0.48558141760359474,-1.4431787905230344,1.1924689574766303
0458P00027000000,-0.24439488437683968,-0.14426008549726735,-0.33620832853603516,-0.6122846619886549,-0.8107930002191248,-0.19971398983222752,0.5836941094391677,-0.4282906642600533
0979P00035000000,-0.6276022026345469,-0.2516533337772871,0.8479819709207193,-0.98849228920426635,-0.6042480718775386,-0.7532189132805087,-0.20470822773051695,0.4275745726804817
0072K00148000000,-0.10101674664467736,-0.03683355977507313,-0.9636952921897368,0.25984837096998803,-0.3068432171910165,-0.2650781160729503,0.016175979357372285,-0.5881935273002113
1223D00108000000,-0.39937606511752477,-0.1406959400376086,-0.17255719071101697,0.2193681588270903,-0.142194436186306,0.2736089244679996,-0.4697627717933622,-1.5376119202144225
1499P00019000000,-0.5766252331853645,-0.07941562522293012,0.1933741283327885,-1.2083804486151781,0.011974187645066872,-0.15171973450798143,-0.24134402712548783,0.7977866888641987
0306B00062000000,-0.709093401098056,-0.30241696628141007,-0.2312252467941861,-0.06816514994913182,-0.457111894686749,-0.03517144024898296,-0.3210399403612454,-0.4500076082833112
0764B00112000000,-0.5673352007030972,-0.25120711434938714,-0.4697971929566009,-0.3296801020251372,-0.6199235056088125,-0.3829124772883009,-1.12706594829074,-0.9516242365524619
0417B00121000000,-0.6734996461934648,-0.27065647432193396,-0.27168971043268936,-0.9183458341655529,-0.6114942933988498,-0.6501668447746705,-0.3229266845926119,0.5462317393166518
1068L00041000000,-0.8332697205010069,-0.2896654842918207,1.3714134286521298,-0.7138908725834169,-0.6285542068867188,-0.7360706597345524,-0.5759540335470423,0.2619493240664769
0137P00227000000,-0.22353122738045061,-0.23024950546987694,0.061858543890011504,0.885561388972544,-0.08140147463290638,0.583731450746406,1.162517295853736,0.14395785532871694
1223K00188000000,-0.3866481343623905,-0.020071528482301846,-0.11566729755194023,-0.21637220028381474,-0.28561896135737563,0.3107207582856253,-0.9157063054019592,-0.6977831950198345
0305P00268000000,-0.7290834818586395,-0.29278226036765925,-0.2281399076241565,0.04342703884038211,-0.42233923840802234,-0.06926318894766359,-0.5556827124316118,-0.655046254740677
0422L00045000100,-0.7383567724337731,-0.3035358957793108,-0.16338785468523936,-1.0434641762689087,-0.417794128544891,-0.5051231391073036,-0.6650574593581332,0.5435796112190627
1223D00123000000,-0.4334914621020492,-0.12982493536900566,-0.2432846541682707,0.0627592401217153,-0.12538800561569702,0.19210926915724372,-0.3076849779463076,-1.4441402425968128
0058N00100000000,-0.8112475049431069,-0.20075415388176598,0.6122263578119908,-0.5092580498341083,-0.3994804671569654,-0.5202693695597612,-0.47093917029850807,-0.02070499910647769
0650B00180000000,-0.696347565477463,-0.2914927496082518,0.5121151979486362,-0.9590301664498969,-0.5610307894793481,-0.4506360222960012,-0.8392712499791201,0.9615800413679823
0375L00154000000,-0.19631539632147507,-0.15118710599345572,-1.6451148764835015,-0.2865705154302015,-0.7547920839292793,-0.4167358459646592,0.4095710123374728,-8.834732873862772e-4
0375R00095000000,-0.12547625944043742,-0.11739996980868068,-1.6192237052131113,-0.09469837383959005,-0.7459979686563621,-0.35375071438714234,0.25185496867835855,-1.988753901192758
0318S00090000000,-0.30825167069587706,-0.2950170036023768,0.7778725112814663,-0.5841803672278186,0.20589919747967686,0.11228532722625995,2.067866230266032,0.8806009408269073
