variable,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
access_bike_all_jobs,0.21337987213981208,0.21920533038688722,-0.029141391180703205,-0.08317909229618846,0.754101959683486,-0.06696053417046915,-0.041333006341929726,-0.017986363822532356
access_bike_hi_pay_jobs,0.229887289359005,0.25993850223648,-0.034306197681263154,-0.11226130334707635,0.7424799094480593,-0.11645925270516766,-0.10520331629813168,-0.022454357963714897
access_bike_lo_pay_jobs,0.1454955628211816,0.11581587068142837,0.014287198741787882,0.018930318170578296,0.731677180636175,0.07011226999171045,0.12122061326190228,-4.457447559930994e-4
access_bike_retail_jobs,-0.010040103301105122,-0.1202382804307729,0.024423170643758818,0.03802117701045024,0.5244032713914804,0.37868246260441313,0.35232316490543036,0.062378443495145514
access_bike_entrnmt_jobs,0.11973324233117934,0.24341284659199108,0.05987935291145341,0.2400444716329075,0.6106388277546371,-0.12833618422126605,-0.178389435859723,0.029714024885859204
access_bike_hosplty_jobs,0.2088334216986179,0.10203947000914149,0.055654526002101336,-0.07969712435406084,0.7275042564787424,0.12635539092006745,0.0540464574156989,-0.00955594103122
access_bike_dest_parcels,0.23750515625717827,-0.0335324434600885,-0.19902878575521668,0.498735588317744,0.259589627286461,-0.023337740815344704,0.02103149382898155,0.06616232817990197
access_bike_grocery,-0.028767727870776555,-0.15973888144634107,-0.03509336890001527,0.3118896961754658,0.2496791557282637,0.3343343010791656,0.41529854868887794,0.04064018374115114
access_bike_school,-0.07587339749199785,-0.050042183500336526,0.2090664469472886,0.8636662245215506,0.1382364581517752,-0.005681629264881111,0.3438965061173814,0.034589437181945654
access_bike_park,0.02108682704717771,-0.03863754940532256,-0.07443048327556431,0.667079570810328,0.1879703893277909,-0.03460160793600105,0.2997723554553125,-0.01806115953217543
access_walk_all_jobs,0.019698658148243238,0.7992741391879671,-0.055184465295908335,-0.08761822533553325,0.31285854955228515,-0.1599216075437569,0.08508655380970334,-0.04011756457398775
access_walk_hi_pay_jobs,0.016872909209327446,0.8464179349835103,-0.05800903413577466,-0.09703380895735503,0.29063911090728356,-0.2513454089261543,0.07650656578556903,-0.030618836412843728
access_walk_lo_pay_jobs,0.008604196354402335,0.6056293809104194,-0.02075556205569394,-0.03254981361353672,0.3470124873202988,0.12997369119830615,0.08594765626015302,-0.05251307421873398
access_walk_retail_jobs,-0.1293384692341551,0.010716501005365045,-0.038108076952586556,-0.07037839297878623,0.31977381727297494,0.7479766336254067,0.0767024750092084,0.020506414069294442
access_walk_entrnmt_jobs,-0.0053777715170313205,0.522291051033974,0.04678827329412442,0.16860104842483437,0.2836538632476154,-0.12193200297238184,-0.12525844342464054,0.019178590236623296
access_walk_hosplty_jobs,0.07571978771978297,0.5440477127368376,0.03857673274202314,-0.15079775423153974,0.3422714617091558,0.23082281087341727,0.041485476591179266,-0.06536239005634079
access_walk_dest_parcels,0.2253394841949771,0.03652998299850304,-0.3478526738943824,0.4002898371593451,0.12698266692042942,0.05497575607467621,-0.16830601876571288,0.037429779246911224
