variable,f_drivable,f_walkable,f_diverse,f_biketodest,f_biketojob,f_amendities,f_dense,f_built_nature
land_value_log,0.16426463466325464,0.007085374211883343,1.0948797394407257,0.33953492508669636,0.051871464860751816,0.052037314184321004,-0.10251308068526174,0.06460660584314468
lot_area_log,-0.051641110430259284,0.019398011628054525,0.4425809201821763,-0.015041719436224697,0.0281053784260875,0.0402938438149649,-0.2842451934846848,0.4249845961199195
price_log,0.0318303688900011,0.006468859379976757,0.3050223752011504,0.12383079155993222,-0.025766686909022295,-0.020980440054324093,0.04977085010156106,-0.09290662345043361
radius,-0.035114143566750855,-0.06532416286727506,-0.04394254467083339,-0.2679613460020225,0.039654136206379906,0.12274940185882137,-0.4916566024915189,0.22095856374113848
pct_white,0.033669591793888204,-0.032431671289835484,0.7517235303909477,-0.17545160664933282,-0.011516603897410918,0.0895950454958915,-0.06667706278364395,-0.18072397968766282
pct_black,-0.09723291819606698,0.027517346847306123,-0.8053588522587508,0.1978905945268363,-0.02104104470399053,-0.13030060492851464,0.024309095253945534,0.1879169890389683
pct_hispanic,0.2713311479042326,-0.06910528682336423,-0.03119175116027776,0.12594267180780352,-0.002668807919858337,0.18563874248386786,0.11140890513449433,-0.03753636939429403
n_uses,0.0959837176013936,-0.05745799830624515,-0.4886240941725625,-0.06587482321774224,-0.05479807286242976,0.362139522382721,-0.38552891492259883,-0.05924176244294928
log_avg_disamentiy_dist,-0.1502844819840471,0.03940290607944988,0.4076531651211461,-0.08375007700140084,0.08145133438878395,-0.015856768942856987,0.12593662462294272,0.20832129184260456
built_score_ad,0.025968064422061624,-0.02726782653231795,0.09266665072138822,0.09994317163803369,0.004063650558787085,-0.018873152505102606,0.09141579465481199,-0.8061152242483547
nature_score_ad,0.08858118455793088,0.01214813853458103,-0.1795156148447421,-0.027977195960111084,3.4147256294262557e-4,0.04761688366969656,-0.15093632876494173,0.7926784181174554
