variable,f_drivable,f_walkable,f_dense,f_diverse,f_amenities
access_bike_all_jobs,0.4157008642555597,0.5498798307461693,0.2617584510957362,-0.07092002062833808,-0.17637210360975783
access_bike_hi_pay_jobs,0.42429999619120945,0.5891083392138677,0.18729340616374687,-0.049522603832406364,-0.23576867803410634
access_bike_lo_pay_jobs,0.3506189291352224,0.430576328226622,0.444967745668383,-0.13810503670586627,-0.010051969943787075
access_bike_retail_jobs,0.12988379268757522,0.10568049921967763,0.5600702118831592,-0.22466792044162542,0.34847498451945397
access_bike_entrnmt_jobs,0.27773645833381316,0.5563921750920332,0.32805653425065673,0.004831640209728296,-0.30582873876697775
access_bike_hosplty_jobs,0.4006648519690283,0.4504603323296092,0.33203062199810796,-0.1737820693806117,0.018599142056803845
access_bike_dest_parcels,0.3275334427698932,0.11370693876100971,0.5329963158355664,0.3175302670408487,-0.11300699261178487
access_bike_grocery,0.06190002374382303,-0.06247872089916023,0.6856222499070785,-0.056198398368983514,0.35315443989308726
access_bike_school,0.028430656968055065,-0.004658208421114527,0.844489783260453,-0.04317429081259084,0.027786271985819965
access_bike_park,0.127681047953073,0.022701327835240443,0.764218838370391,0.18551376433131977,0.013234473011999006
access_walk_all_jobs,0.09017423775470682,0.8635881866761472,0.073748406106612,-0.030560080310794945,-0.046252117021259136
access_walk_hi_pay_jobs,0.07232172993613444,0.8754783124295218,0.035465596594619245,-0.029953622345852717,-0.11679533291710474
access_walk_lo_pay_jobs,0.10733606339084678,0.7683735829584216,0.1774756125996303,-0.03926364159190816,0.16414531673240496
access_walk_retail_jobs,-0.00494618307747179,0.28594592739044666,0.2659957306901077,-0.06924235232119436,0.5704256230695939
access_walk_entrnmt_jobs,0.04840643324926077,0.7016124469875291,0.13947349219810984,0.01984454362059199,-0.19185007331756676
access_walk_hosplty_jobs,0.15695994508683134,0.7420463755594304,0.06433657251105339,-0.10725436123379603,0.2455467949586885
access_walk_dest_parcels,0.28584707695323863,0.20549093127571258,0.31215137143604743,0.5161726791225717,-0.09655946055523826
access_walk_grocery,0.09416186361043975,0.03089121936233434,0.2196431706311114,0.045501943125558116,0.503781339898116
access_walk_school,0.002569719334390107,0.15047407971183965,0.5891274050935136,0.08460133798552506,-0.02291026240250893
access_walk_park,0.1827357683950134,0.13657833296644498,0.3789841049234043,0.39171071084011055,-0.011302420736949405
access_car_all_jobs,1.005096882347702,0.05926594676588163,-0.08242738567264976,0.011836222775027078,0.0012956438417586146
access_car_hi_pay_jobs,1.0112494927134406,0.06902399912040091,-0.1163680245478897,0.021155061248479264,-0.021621489902605564
access_car_lo_pay_jobs,0.9692758066633904,0.024184253195833054,0.007784774098272127,-0.019227336757697475,0.058518509360076076
access_car_retail_jobs,0.5710341753735956,-0.05242377569177973,0.20301339610204278,-0.13820668875112038,0.21870775653579833
access_car_entrnmt_jobs,0.9675888240754439,0.0806433292521964,-0.13194683642384578,0.08629709087015044,-0.1042399304310379
access_car_hosplty_jobs,1.0141521023118683,0.028874977750100735,-0.05846337323577021,-0.031245783265358706,0.016157040109295858
access_car_dest_parcels,0.7817539689968201,0.020161182503066078,0.13670310013386178,0.20560984157711285,0.059336389309073555
access_car_grocery,0.4166559901778779,-0.10628156889916883,0.343229343643821,0.09680456832799139,0.29018460828033554
access_car_school,0.6265084346885518,-0.05731008005972577,0.35347030692803333,-0.004053516157236586,0.15849530976236234
access_car_park,0.5903243731862462,-0.041020661243755294,0.2499474560701505,0.20463691276841123,0.21351367580932756
access_transit_all_jobs,-0.0986921201393808,0.8570780711710065,-0.0790784014919917,0.04812930031414352,0.16547774850395883
access_transit_hi_pay_jobs,-0.11991786195780899,0.8280495663234337,-0.08584358378074358,0.0385638536516068,0.08508315628912849
access_transit_lo_pay_jobs,-0.01924893003480329,0.8037437394243087,-0.05040093400637362,0.05317031143533953,0.3599155067024212
access_transit_retail_jobs,0.003573007379614892,0.35162940394562187,-0.011233872696486982,0.011826002963267638,0.5434289939135674
access_transit_entrnmt_jobs,0.026887364409285457,0.45388323854765095,-0.028648901350214404,0.03314950168224676,-0.058751862610929025
access_transit_hosplty_jobs,0.05482269730126068,0.7351580803648015,-0.11218708401567042,-0.030167917852807893,0.29849937133824855
access_transit_dest_parcels,0.2439281848998738,0.2507923087172041,0.1500749039518324,0.5373505385990779,-0.03148629069548391
access_transit_grocery,0.09488741193915834,0.03508459452511781,0.018387567629692764,0.053639199927264423,0.34878145290600293
access_transit_school,-0.017015849429285038,0.10936568037034633,0.326249618469996,0.1022853611600866,0.0089123169702040091
access_transit_park,0.0874138605634964,0.09075793359969749,0.17797580747646355,0.32046629816996036,-0.008191921610389641
total_value_log,0.02647442710991092,0.06447514273310999,0.07688161662756288,-0.7226855659408153,-0.026323489186164173
land_value_log,0.08173156824393189,0.09828746519272637,0.05530550868394224,-0.825365519283127,-0.0331876178537977
lot_area_log,-0.17433039444365775,0.0067291177297097255,-0.18967748648984045,-0.47150122875882716,-0.13538189890050717
price_log,0.031929887538909,0.008270852700557305,0.06091417877950647,-0.21501238758360403,-0.00918071061255086
radius,-0.09902925507933841,0.056713452656252605,-0.40208430467874595,0.027437689110859025,-0.13758263504971727
pct_white,0.012498287682242372,0.04497020393527382,-0.3103344209575418,-0.6448814974655589,0.09101028464900618
pct_black,-0.07934029537855915,-0.061922079194934594,0.29199143601924316,0.7106600727520733,-0.14005982793977972
pct_hispanic,0.2847032275681179,-0.022313908942790558,0.15544481176868033,0.0870582716604438,0.21491429950838697
n_uses,0.11591727196286376,0.15266984673193043,-0.1619907832277829,0.601688156561989,0.11744512061008323
log_avg_disamentiy_dist,-0.18699017208934915,-0.03877629953914642,-0.005100585889266367,-0.5644280662696576,0.006342999158126871
